bird,abundance,img,ebird,wikipedia,allaboutbirds,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall
Eastern Kingbird,--CCCU-,https://upload.wikimedia.org/wikipedia/commons/0/02/Tyrannus-tyrannus-001.jpg,https://ebird.org/species/easkin,https://en.wikipedia.org/wiki/Eastern_kingbird,https://www.allaboutbirds.org/guide/Eastern_Kingbird/overview,,,,,2 - common,2 - common,2 - common,4 - uncommon,
White-eyed Vireo,--RRRX-,https://upload.wikimedia.org/wikipedia/commons/1/1d/WhiteEyedVireoMaine.jpg,https://ebird.org/species/whevir/,https://en.wikipedia.org/wiki/White-eyed_vireo,https://www.allaboutbirds.org/guide/White-eyed_Vireo/overview,,,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,
Bell's Vireo,--UUR--,https://upload.wikimedia.org/wikipedia/commons/c/c1/Least_Bell%27s_Vireo_USGS_WERC.jpg,https://ebird.org/species/belvir,https://en.wikipedia.org/wiki/Bell's_vireo,https://www.allaboutbirds.org/guide/Bells_Vireo/overview,,,,,4 - uncommon,4 - uncommon,5 - rare,,
Yellow-throated Vireo,--URRUX,https://upload.wikimedia.org/wikipedia/commons/f/fa/Vireo-flavifrons-001.jpg,https://ebird.org/species/yetvir,https://en.wikipedia.org/wiki/Yellow-throated_vireo,https://www.allaboutbirds.org/guide/Yellow-throated_Vireo/overview,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,6 - extremely rare
Blue-headed Vireo,--U--UR,https://upload.wikimedia.org/wikipedia/commons/b/b5/Blue-headed_Vireo_%288088895251%29.jpg,https://ebird.org/species/buhvir,https://en.wikipedia.org/wiki/Blue-headed_vireo,https://www.allaboutbirds.org/guide/Blue-headed_Vireo/overview,,,,,4 - uncommon,,,4 - uncommon,5 - rare
Philadelphia Vireo,--U--U-,https://upload.wikimedia.org/wikipedia/commons/3/32/Vireo_philadelphicus.jpg,https://ebird.org/species/phivir/,https://en.wikipedia.org/wiki/Philadelphia_vireo,https://www.allaboutbirds.org/guide/Philadelphia_Vireo/overview,,,,,4 - uncommon,,,4 - uncommon,
Warbling Vireo,--FFUU-,https://upload.wikimedia.org/wikipedia/commons/c/cc/WarblingVireo08.jpg,https://ebird.org/species/warvir/,https://en.wikipedia.org/wiki/Warbling_vireo,https://www.allaboutbirds.org/guide/Warbling_Vireo/overview,,,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,
Red-eyed Vireo,--CFFCX,https://upload.wikimedia.org/wikipedia/commons/0/03/Vireo_olivaceus_-Madison_-Wisconsin_-USA-8.jpg,https://ebird.org/species/reevir1,https://en.wikipedia.org/wiki/Red-eyed_vireo,https://www.allaboutbirds.org/guide/Red-eyed_Vireo/overview,,,,,2 - common,3 - fairly common,3 - fairly common,2 - common,6 - extremely rare
Loggerhead Shrike,---XX--,https://upload.wikimedia.org/wikipedia/commons/7/73/Lanius_ludovicianus_-Texas_-USA-8-4c.jpg,https://ebird.org/species/logshr,https://en.wikipedia.org/wiki/Loggerhead_shrike,https://www.allaboutbirds.org/guide/Loggerhead_Shrike/overview,,,,,,6 - extremely rare,6 - extremely rare,,
Blue Jay,UUCFFCF,https://upload.wikimedia.org/wikipedia/commons/0/04/Cyanocitta-cristata-004.jpg,https://ebird.org/species/blujay,https://en.wikipedia.org/wiki/Blue_jay,https://www.allaboutbirds.org/guide/Blue_Jay/overview,,,4 - uncommon,4 - uncommon,2 - common,3 - fairly common,3 - fairly common,2 - common,3 - fairly common
American Crow,UUUUUUU,https://upload.wikimedia.org/wikipedia/commons/0/0a/Corvus-brachyrhynchos-001.jpg,https://ebird.org/species/amecro,https://en.wikipedia.org/wiki/American_crow,https://www.allaboutbirds.org/guide/American_Crow/overview,,,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon
Black-capped Chickadee,CCCCCCC,https://upload.wikimedia.org/wikipedia/commons/4/4a/Poecile-atricapilla-001.jpg,https://ebird.org/species/bkcchi,https://en.wikipedia.org/wiki/Black-capped_chickadee,https://www.allaboutbirds.org/guide/Black-capped_Chickadee/overview,,,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common
